"title","description","biocversion","genome","sourcetype","sourceurl","sourceversion","species","taxonomyid","coordinate_1_based","dataprovider","maintainer","rdataclass","dispatchclass","location_prefix","rdatapath","preparerclass","tags"
"HuMMANet Study Bundle: FangX_2020","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study FangX_2020 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/fangx_2020.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,FangX_2020"
"HuMMANet Study Bundle: FengZ_2021","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study FengZ_2021 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/fengz_2021.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,FengZ_2021"
"HuMMANet Study Bundle: FranzosaE_2019","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study FranzosaE_2019 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/franzosae_2019.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,FranzosaE_2019"
"HuMMANet Study Bundle: FranzosaE_2019_Validation","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study FranzosaE_2019_Validation .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/franzosae_2019__22d0f995.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,FranzosaE_2019_Validation"
"HuMMANet Study Bundle: GotoY_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study GotoY_2022 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/gotoy_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,GotoY_2022"
"HuMMANet Study Bundle: HE_INFANTS_2019","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HE_INFANTS_2019 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/he_infants_2019.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HE_INFANTS_2019"
"HuMMANet Study Bundle: HanL_2021_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HanL_2021_Fecal .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/hanl_2021_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HanL_2021_Fecal"
"HuMMANet Study Bundle: HanL_2021_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HanL_2021_Serum .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/hanl_2021_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HanL_2021_Serum"
"HuMMANet Study Bundle: HashmiM_2025_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HashmiM_2025_Serum .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/hashmim_2025_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HashmiM_2025_Serum"
"HuMMANet Study Bundle: HeJ_2020_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HeJ_2020_Fecal .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/hej_2020_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HeJ_2020_Fecal"
"HuMMANet Study Bundle: HeJ_2020_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HeJ_2020_Serum .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/hej_2020_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HeJ_2020_Serum"
"HuMMANet Study Bundle: HuangW_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study HuangW_2025 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/huangw_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,HuangW_2025"
"HuMMANet Study Bundle: JiangC_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study JiangC_2022 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/jiangc_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,JiangC_2022"
"HuMMANet Study Bundle: KangDW_2020_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study KangDW_2020_Fecal .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/kangdw_2020_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,KangDW_2020_Fecal"
"HuMMANet Study Bundle: KangDW_2020_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study KangDW_2020_Serum .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/kangdw_2020_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,KangDW_2020_Serum"
"HuMMANet Study Bundle: KuiD_2023_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study KuiD_2023_Fecal .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/kuid_2023_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,KuiD_2023_Fecal"
"HuMMANet Study Bundle: KuiD_2023_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study KuiD_2023_Serum .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/kuid_2023_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,KuiD_2023_Serum"
"HuMMANet Study Bundle: LloydPrice_2019","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study LloydPrice_2019 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/lloydprice_2019.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,LloydPrice_2019"
"HuMMANet Study Bundle: LouZ_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study LouZ_2023 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/louz_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,LouZ_2023"
"HuMMANet Study Bundle: MetaCardis_2020","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study MetaCardis_2020 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/metacardis_2020.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,MetaCardis_2020"
"HuMMANet Study Bundle: Metwaly_2020","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study Metwaly_2020 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/metwaly_2020.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,Metwaly_2020"
"HuMMANet Study Bundle: NishimotoY_2021","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study NishimotoY_2021 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/nishimotoy_2021.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,NishimotoY_2021"
"HuMMANet Study Bundle: OdenwaldA_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study OdenwaldA_2023 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/odenwalda_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,OdenwaldA_2023"
"HuMMANet Study Bundle: POYET_BIO_ML_2019","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study POYET_BIO_ML_2019 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/poyet_bio_ml_2019.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,POYET_BIO_ML_2019"
"HuMMANet Study Bundle: QuinnR_2016","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study QuinnR_2016 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/quinnr_2016.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,QuinnR_2016"
"HuMMANet Study Bundle: RashidiA_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study RashidiA_2022 .","devel","NA","RDS","https://github.com/Shivi-Verma29/HuMMANet","0.1.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://example.org/HuMMANet","HuMMANet/v1/studies/rashidia_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,RashidiA_2022"
